ts,gpu_index,power_w,util_gpu_pct,util_mem_pct,mem_used_mb,temp_c
1774797621.590,0,25.92,30,24,1233,40
1774797621.838,0,25.92,31,24,1233,40
1774797622.072,0,25.98,36,29,1233,40
1774797622.312,0,26.26,44,32,1242,40
1774797622.571,0,49.54,44,14,3998,40
1774797622.859,0,85.34,99,66,3998,40
1774797623.132,0,138.76,100,75,3987,40
1774797623.407,0,174.21,100,69,3988,62
1774797623.682,0,207.63,100,72,3992,62
1774797623.918,0,219.16,100,57,3992,62
1774797624.158,0,218.88,100,68,3992,70
1774797624.392,0,219.11,100,68,3992,70
1774797624.628,0,219.29,100,64,3992,70
1774797624.863,0,218.71,100,71,3992,72
1774797625.104,0,219.86,100,62,3992,72
1774797625.337,0,219.88,100,69,3992,72
1774797625.568,0,219.74,100,72,3989,73
1774797625.797,0,219.40,100,60,3989,73
1774797626.027,0,218.36,100,70,3995,73
1774797626.265,0,219.53,100,58,4004,75
1774797626.539,0,219.81,100,70,4004,75
1774797626.772,0,219.58,100,65,4004,75
1774797627.025,0,219.15,100,65,4004,76
1774797627.264,0,219.51,100,71,4004,76
1774797627.496,0,219.61,100,61,4004,76
1774797627.731,0,219.05,100,69,3999,76
1774797627.982,0,218.73,100,71,4012,76
1774797628.217,0,218.99,100,54,4013,76
1774797628.452,0,219.56,100,56,4013,77
1774797628.685,0,219.67,100,55,4013,77
1774797628.925,0,219.33,100,70,4013,77
1774797629.156,0,219.57,100,67,4013,77
1774797629.399,0,219.19,100,61,4013,77
1774797629.640,0,219.58,100,69,4013,77
1774797629.872,0,219.67,100,60,4008,77
1774797630.113,0,219.33,100,64,4003,77
1774797630.359,0,218.82,100,67,4003,77
1774797630.599,0,216.76,100,55,4003,78
1774797630.834,0,214.77,100,64,4003,78
1774797631.069,0,212.82,100,68,4004,78
1774797631.303,0,211.39,100,54,4025,77
1774797631.540,0,210.30,100,71,4029,77
1774797631.772,0,210.06,100,57,4030,77
1774797632.005,0,210.12,100,65,4032,77
1774797632.239,0,210.17,100,67,4034,77
1774797632.475,0,209.68,100,56,4035,77
1774797632.713,0,209.82,100,67,4037,77
1774797632.950,0,209.63,100,62,4037,77
1774797633.187,0,210.26,100,61,4031,77
1774797633.419,0,211.19,100,68,4028,78
1774797633.656,0,211.43,100,62,4025,78
1774797633.891,0,211.08,100,59,4019,78
1774797634.141,0,211.74,100,66,4053,78
1774797634.375,0,211.24,100,56,4040,78
1774797634.612,0,210.90,100,65,4041,78
1774797634.845,0,207.14,100,55,4041,78
1774797635.079,0,205.20,100,62,4041,78
1774797635.332,0,204.12,100,67,4041,78
1774797635.572,0,203.84,100,57,4042,76
1774797635.822,0,205.62,100,66,4042,76
1774797636.055,0,208.22,100,68,4042,76
1774797636.296,0,210.71,100,54,4042,78
1774797636.533,0,212.18,100,63,4011,78
1774797636.766,0,211.64,100,67,4007,78
1774797637.012,0,210.25,100,52,4002,78
1774797637.251,0,208.87,100,65,4003,78
1774797637.498,0,206.79,100,57,4003,78
1774797637.733,0,205.49,100,65,4000,77
1774797637.980,0,206.91,100,70,4002,77
1774797638.230,0,207.12,100,56,4015,77
1774797638.472,0,208.80,100,65,4015,78
1774797638.706,0,209.12,100,63,4015,78
1774797638.945,0,208.23,100,59,4027,78
1774797639.192,0,206.92,100,67,4027,77
1774797639.441,0,207.02,100,63,4027,77
1774797639.681,0,206.37,100,72,4027,77
1774797639.914,0,205.58,100,61,4027,77
1774797640.150,0,205.18,100,60,4027,77
1774797640.381,0,204.99,100,71,4027,77
1774797640.614,0,204.81,100,60,4027,77
1774797640.847,0,205.08,100,72,4027,77
1774797641.080,0,205.84,100,63,4027,77
1774797641.314,0,206.63,100,64,4014,77
1774797641.551,0,208.49,100,67,4014,77
1774797641.791,0,209.35,100,61,4014,77
1774797642.023,0,208.47,100,70,4014,78
1774797642.259,0,209.18,100,69,4014,78
1774797642.491,0,210.29,100,59,4014,78
