ts,gpu_index,power_w,util_gpu_pct,util_mem_pct,mem_used_mb,temp_c
1774541921.667,0,26.94,18,12,818,41
1774541921.902,0,26.17,17,11,818,41
1774541922.135,0,25.88,29,23,825,41
1774541922.379,0,26.37,55,39,834,41
1774541922.625,0,45.23,75,30,3590,41
1774541922.929,0,99.48,100,76,3590,41
1774541923.199,0,135.07,100,74,3590,67
1774541923.434,0,170.94,100,59,3590,67
1774541923.668,0,218.02,100,63,3588,67
1774541923.919,0,219.47,100,64,3583,67
1774541924.154,0,219.22,100,72,3583,69
1774541924.393,0,218.62,100,60,3609,69
1774541924.634,0,217.93,100,68,3610,72
1774541924.877,0,219.37,100,68,3610,72
1774541925.116,0,220.01,100,60,3610,73
1774541925.351,0,219.27,100,70,3610,73
1774541925.589,0,219.71,100,61,3610,73
1774541925.821,0,218.96,100,69,3607,75
1774541926.066,0,219.71,100,60,3602,75
1774541926.308,0,219.40,100,68,3603,75
1774541926.550,0,219.72,100,72,3603,75
1774541926.784,0,219.27,100,59,3603,76
1774541927.016,0,219.43,100,69,3603,76
1774541927.255,0,219.80,100,58,3603,76
1774541927.491,0,219.65,100,65,3603,77
1774541927.732,0,219.44,100,64,3603,77
1774541927.964,0,219.14,100,62,3596,77
1774541928.200,0,219.54,100,69,3596,77
1774541928.431,0,219.32,100,59,3596,77
1774541928.663,0,218.76,100,68,3596,78
1774541928.896,0,216.83,100,68,3605,78
1774541929.132,0,214.55,100,67,3605,78
1774541929.365,0,212.99,100,69,3605,77
1774541929.601,0,210.17,100,53,3605,77
1774541929.832,0,209.36,100,64,3586,77
1774541930.065,0,209.38,100,63,3584,77
1774541930.305,0,209.58,100,59,3584,77
1774541930.537,0,209.65,100,67,3584,77
1774541930.767,0,209.96,100,58,3584,77
1774541931.003,0,210.16,100,65,3581,77
1774541931.240,0,210.57,100,56,3581,78
1774541931.476,0,210.73,100,66,3585,78
1774541931.708,0,210.17,100,69,3585,78
1774541931.942,0,209.53,100,53,3585,78
1774541932.175,0,207.68,100,57,3585,78
1774541932.412,0,206.90,100,67,3585,78
1774541932.645,0,205.91,100,51,3585,78
1774541932.886,0,205.77,100,62,3585,78
1774541933.123,0,205.97,100,62,3579,78
1774541933.364,0,206.37,100,67,3579,78
1774541933.603,0,206.50,100,59,3579,78
1774541933.846,0,206.25,100,60,3579,78
1774541934.078,0,206.73,100,64,3579,78
1774541934.314,0,207.08,100,54,3579,78
1774541934.590,0,206.17,100,63,3579,78
1774541934.840,0,205.00,100,51,3579,78
1774541935.083,0,204.12,100,60,3579,78
1774541935.317,0,201.85,100,62,3579,78
1774541935.549,0,200.52,100,53,3579,78
1774541935.783,0,200.05,100,60,3579,77
1774541936.018,0,200.64,100,66,3579,77
1774541936.250,0,200.31,100,52,3579,77
1774541936.484,0,200.84,100,66,3579,77
1774541936.722,0,200.99,100,56,3578,77
1774541936.957,0,201.04,100,63,3578,77
1774541937.186,0,200.53,100,59,3570,78
1774541937.418,0,201.21,100,63,3570,78
1774541937.653,0,201.34,100,64,3570,78
1774541937.888,0,201.24,100,58,3570,78
1774541938.122,0,202.21,100,65,3570,78
1774541938.355,0,203.39,100,66,3570,78
1774541938.586,0,204.38,100,61,3570,78
1774541938.818,0,204.06,100,67,3569,78
1774541939.052,0,202.27,100,53,3569,78
1774541939.285,0,200.60,100,62,3569,77
1774541939.524,0,199.63,100,65,3569,77
1774541939.769,0,198.37,100,54,3569,78
1774541940.010,0,198.44,100,57,3569,78
1774541940.247,0,200.60,100,52,3569,78
