ts,gpu_index,power_w,util_gpu_pct,util_mem_pct,mem_used_mb,temp_c
1775734587.977,0,30.54,14,44,2658,45
1775734588.213,0,30.10,20,28,2658,45
1775734588.477,0,29.77,25,29,2658,45
1775734588.722,0,29.16,21,28,2669,45
1775734588.977,0,62.21,96,56,5423,45
1775734589.281,0,97.37,100,76,5423,45
1775734589.514,0,149.39,100,66,5383,62
1775734589.756,0,184.74,100,65,5424,62
1775734589.987,0,218.93,100,61,5424,71
1775734590.259,0,219.60,100,67,5384,71
1775734590.493,0,219.37,100,68,5424,73
1775734590.736,0,219.11,100,63,5404,73
1775734590.994,0,217.54,100,69,5384,76
1775734591.229,0,218.60,100,59,5425,76
1775734591.467,0,219.38,100,68,5390,77
1775734591.711,0,218.61,100,68,5430,77
1775734591.942,0,217.07,100,60,5430,78
1775734592.176,0,216.87,100,70,5430,78
1775734592.409,0,214.89,100,70,5390,78
1775734592.644,0,210.98,100,73,5390,78
1775734592.876,0,207.96,100,69,5430,78
1775734593.110,0,206.92,100,59,5390,78
1775734593.344,0,207.16,100,69,5430,79
1775734593.578,0,209.23,100,68,5430,79
1775734593.812,0,207.60,100,65,5387,80
1775734594.050,0,202.31,100,57,5387,80
1775734594.280,0,198.49,100,62,5406,77
1775734594.514,0,194.04,100,65,5381,77
1775734594.756,0,190.62,100,59,5381,78
1775734594.991,0,192.52,100,58,5381,78
1775734595.225,0,194.84,100,58,5381,79
1775734595.460,0,194.12,100,58,5422,79
1775734595.697,0,191.18,100,65,5422,77
1775734595.933,0,190.36,100,56,5422,77
1775734596.167,0,189.53,100,62,5422,78
1775734596.400,0,191.05,100,70,5422,78
1775734596.633,0,193.68,100,63,5381,78
1775734596.870,0,195.31,100,68,5424,78
1775734597.101,0,194.98,100,55,5424,78
1775734597.341,0,191.77,100,66,5424,78
1775734597.572,0,190.36,100,65,5425,78
1775734597.807,0,190.80,100,56,5425,78
1775734598.038,0,190.14,100,70,5425,78
1775734598.269,0,189.81,100,56,5425,78
1775734598.499,0,190.29,100,64,5425,78
1775734598.736,0,189.73,100,69,5425,78
1775734598.969,0,190.49,100,53,5425,78
1775734599.201,0,189.29,100,67,5425,78
1775734599.436,0,184.86,100,54,5425,78
1775734599.669,0,182.96,100,64,5425,78
1775734599.904,0,182.35,100,68,5425,77
1775734600.139,0,182.00,100,56,5425,77
1775734600.372,0,185.40,100,67,5425,78
1775734600.602,0,187.93,100,68,5425,78
1775734600.833,0,191.73,100,61,5425,78
1775734601.067,0,189.99,100,62,5425,78
1775734601.299,0,187.29,100,52,5425,77
1775734601.530,0,184.90,100,64,5425,77
1775734601.763,0,184.57,100,68,5425,77
1775734601.996,0,182.81,100,56,5425,77
1775734602.228,0,186.01,100,64,5425,78
1775734602.463,0,188.03,100,60,5425,78
1775734602.728,0,189.49,100,66,5425,78
1775734602.960,0,190.74,100,63,5425,78
1775734603.190,0,191.41,100,60,5425,79
1775734603.422,0,188.70,100,60,5425,79
1775734603.662,0,187.15,100,54,5425,77
1775734603.902,0,185.62,100,64,5425,77
1775734604.134,0,185.01,100,63,5425,78
1775734604.366,0,185.64,100,61,5425,78
1775734604.602,0,187.33,100,67,5425,78
1775734604.837,0,189.80,100,62,5425,78
1775734605.092,0,190.09,100,67,5425,78
1775734605.324,0,190.11,100,60,5425,78
1775734605.557,0,189.60,100,65,5425,78
1775734605.794,0,190.63,100,67,5425,78
1775734606.033,0,189.26,100,58,5384,78
1775734606.269,0,189.65,100,63,5425,78
1775734606.503,0,188.61,100,57,5385,78
1775734606.746,0,189.35,100,56,5385,78
1775734606.980,0,189.67,100,63,5425,78
1775734607.208,0,189.80,100,62,5425,78
1775734607.459,0,189.64,100,66,5425,78
1775734607.699,0,189.60,100,66,5425,78
1775734607.935,0,189.79,100,53,5425,78
1775734608.168,0,190.15,100,62,5425,78
1775734608.405,0,190.12,100,65,5424,78
1775734608.637,0,189.56,100,62,5424,78
1775734608.872,0,190.37,100,64,5424,77
1775734609.110,0,189.64,100,53,5384,77
1775734609.348,0,189.26,100,55,5424,77
1775734609.584,0,188.40,100,60,5384,77
1775734609.816,0,188.77,100,57,5425,77
1775734610.054,0,189.66,100,62,5384,77
1775734610.285,0,189.12,100,57,5425,78
1775734610.518,0,189.56,100,51,5384,78
1775734610.763,0,189.82,100,59,5384,77
1775734611.003,0,189.73,100,62,5384,77
1775734611.232,0,190.44,100,63,5384,78
1775734611.463,0,192.01,100,65,5425,78
1775734611.702,0,193.07,100,56,5425,78
1775734611.941,0,193.98,100,64,5425,78
1775734612.174,0,194.07,100,64,5425,78
1775734612.409,0,194.06,100,62,5425,78
1775734612.653,0,191.79,100,62,5385,76
1775734612.894,0,189.31,100,52,5385,76
1775734613.128,0,189.16,100,61,5385,77
1775734613.365,0,188.94,100,67,5385,77
1775734613.601,0,192.13,100,60,5425,77
1775734613.848,0,194.03,100,68,5425,77
1775734614.080,0,195.70,100,59,5425,77
1775734614.311,0,195.21,100,60,5385,77
1775734614.545,0,195.43,100,65,5386,78
1775734614.784,0,194.80,100,59,5386,78
1775734615.018,0,194.56,100,63,5426,78
1775734615.256,0,194.72,100,63,5386,78
1775734615.488,0,195.77,100,59,5386,78
1775734615.728,0,191.57,100,58,5386,78
1775734615.964,0,189.43,100,62,5386,76
1775734616.199,0,188.11,100,52,5386,76
1775734616.432,0,187.40,100,67,5386,77
1775734616.665,0,189.31,100,56,5426,77
1775734616.900,0,193.57,100,60,5426,78
1775734617.138,0,194.56,100,56,5426,78
1775734617.372,0,194.82,100,59,5426,77
