ts,gpu_index,power_w,util_gpu_pct,util_mem_pct,mem_used_mb,temp_c
1774541393.900,0,21.39,0,16,841,38
1774541394.139,0,21.61,5,16,841,38
1774541394.371,0,21.67,4,16,837,38
1774541394.604,0,21.74,1,16,854,38
1774541394.865,0,51.56,52,18,3602,38
1774541395.109,0,89.11,100,75,3602,50
1774541395.347,0,125.36,100,79,3602,50
1774541395.587,0,162.22,100,70,3602,64
1774541395.818,0,212.06,100,65,3602,64
1774541396.049,0,220.45,100,73,3602,64
1774541396.281,0,219.37,100,76,3602,66
1774541396.516,0,219.79,100,64,3602,66
1774541396.753,0,219.85,100,76,3602,70
1774541396.990,0,220.40,100,63,3602,70
1774541397.234,0,219.48,100,73,3603,71
1774541397.470,0,218.88,100,72,3606,71
1774541397.727,0,218.22,100,76,3606,72
1774541397.255,0,218.96,100,64,3606,72
1774541397.492,0,219.71,100,73,3606,73
1774541397.748,0,219.82,100,71,3606,73
1774541397.979,0,219.84,100,67,3606,73
1774541398.212,0,218.63,100,75,3606,74
1774541398.443,0,219.81,100,64,3606,74
1774541398.674,0,218.43,100,70,3606,74
1774541398.913,0,220.28,100,69,3606,75
1774541399.147,0,218.85,100,74,3608,75
1774541399.380,0,219.23,100,57,3608,75
1774541399.613,0,219.03,100,68,3608,75
1774541399.855,0,219.23,100,72,3615,75
1774541400.089,0,219.48,100,57,3615,76
1774541400.325,0,219.10,100,74,3615,76
1774541400.561,0,219.78,100,69,3615,76
1774541400.794,0,218.69,100,73,3615,76
1774541401.027,0,220.35,100,58,3615,76
1774541401.259,0,219.10,100,73,3615,76
1774541401.488,0,219.25,100,67,3610,76
1774541401.725,0,219.26,100,71,3610,76
1774541401.955,0,219.45,100,74,3610,77
1774541402.188,0,219.80,100,64,3610,77
1774541402.419,0,218.75,100,66,3610,77
1774541402.680,0,219.74,100,69,3609,77
1774541402.915,0,218.91,100,73,3609,77
1774541403.152,0,217.81,100,62,3609,77
1774541403.386,0,216.38,100,74,3609,77
1774541403.619,0,216.32,100,65,3609,77
1774541403.858,0,215.08,100,71,3609,77
1774541404.097,0,214.69,100,74,3609,77
1774541404.337,0,214.56,100,65,3603,77
1774541404.571,0,213.94,100,57,3602,77
1774541404.814,0,214.72,100,59,3602,77
1774541405.050,0,212.80,100,69,3608,77
1774541405.280,0,211.79,100,58,3607,77
1774541405.517,0,213.04,100,62,3607,77
1774541405.751,0,212.26,100,71,3607,77
1774541405.990,0,211.94,100,72,3607,77
1774541406.223,0,212.88,100,70,3607,77
1774541406.455,0,214.02,100,61,3607,77
1774541406.686,0,213.12,100,71,3607,77
1774541406.925,0,214.16,100,67,3607,77
1774541407.156,0,212.59,100,60,3607,77
1774541407.395,0,213.37,100,68,3607,77
1774541407.636,0,212.97,100,59,3607,77
1774541407.871,0,212.17,100,73,3607,78
1774541408.110,0,210.43,100,59,3607,78
1774541408.343,0,209.95,100,69,3606,77
1774541408.586,0,206.88,100,59,3612,77
1774541408.819,0,206.87,100,59,3613,77
1774541409.052,0,208.50,100,68,3608,77
1774541409.291,0,210.33,100,64,3608,77
1774541409.523,0,210.37,100,65,3608,78
1774541409.754,0,211.07,100,59,3608,78
1774541410.018,0,210.03,100,70,3608,77
1774541410.252,0,208.07,100,67,3602,77
1774541410.491,0,206.81,100,65,3602,77
1774541410.729,0,208.20,100,72,3602,77
1774541410.965,0,209.38,100,62,3602,77
1774541411.198,0,210.77,100,68,3601,77
1774541411.436,0,209.13,100,54,3601,78
1774541411.675,0,208.66,100,67,3601,78
1774541411.906,0,206.77,100,65,3601,78
1774541412.139,0,205.74,100,62,3601,77
1774541412.370,0,204.13,100,71,3601,77
1774541411.114,0,206.24,100,60,3601,77
1774541411.345,0,207.49,100,68,3601,77
1774541411.578,0,208.47,100,72,3601,77
1774541411.817,0,210.09,100,71,3601,78
1774541412.057,0,210.79,100,62,3608,78
1774541412.290,0,210.98,100,66,3607,77
1774541412.526,0,211.02,100,72,3603,77
1774541412.759,0,209.61,100,61,3603,77
1774541412.989,0,208.46,100,68,3603,78
1774541413.219,0,208.34,100,73,3603,78
1774541413.475,0,206.84,100,55,3603,77
1774541413.718,0,205.90,100,65,3603,77
1774541413.956,0,205.85,100,61,3596,77
1774541414.189,0,206.02,100,73,3596,77
1774541414.421,0,205.78,100,61,3596,77
1774541414.655,0,206.43,100,69,3596,77
1774541414.887,0,206.29,100,72,3596,77
1774541415.121,0,206.51,100,57,3596,77
1774541415.352,0,206.38,100,63,3596,77
1774541415.589,0,206.38,100,64,3596,77
1774541415.841,0,206.02,100,70,3596,77
1774541416.075,0,205.41,100,59,3602,77
1774541416.308,0,205.76,100,65,3602,77
1774541416.543,0,207.17,100,69,3602,77
1774541416.777,0,207.95,100,56,3602,77
1774541417.009,0,208.92,100,64,3602,77
1774541417.242,0,209.06,100,64,3602,78
1774541417.480,0,208.36,100,69,3602,78
1774541417.712,0,206.93,100,60,3602,77
1774541417.944,0,205.23,100,66,3598,77
1774541418.184,0,204.55,100,73,3596,77
1774541418.413,0,204.40,100,56,3596,77
1774541418.640,0,204.80,100,66,3596,77
1774541418.872,0,204.76,100,65,3596,77
1774541419.112,0,205.72,100,72,3596,77
1774541419.343,0,206.64,100,59,3596,77
1774541419.579,0,207.74,100,68,3596,78
1774541419.820,0,208.63,100,71,3596,78
1774541420.056,0,209.53,100,57,3596,77
1774541420.288,0,209.31,100,71,3596,77
1774541420.520,0,209.13,100,62,3596,77
1774541420.752,0,206.67,100,70,3596,78
1774541420.982,0,204.88,100,58,3596,78
1774541421.217,0,204.18,100,68,3596,78
1774541421.451,0,203.55,100,71,3596,77
1774541421.684,0,203.61,100,60,3596,77
1774541421.926,0,206.09,100,71,3596,77
1774541422.160,0,207.72,100,62,3596,78
1774541422.395,0,208.37,100,69,3596,78
1774541422.628,0,207.90,100,72,3596,78
1774541422.872,0,205.69,100,60,3596,78
1774541423.114,0,204.45,100,68,3596,78
1774541423.350,0,203.43,100,56,3596,78
1774541423.584,0,202.71,100,70,3596,77
1774541423.823,0,202.78,100,63,3596,77
1774541424.056,0,205.85,100,67,3596,77
1774541424.293,0,206.93,100,72,3596,78
1774541424.534,0,207.57,100,59,3596,78
1774541424.770,0,207.30,100,67,3596,78
1774541425.008,0,206.92,100,67,831,78
