ts,gpu_index,power_w,util_gpu_pct,util_mem_pct,mem_used_mb,temp_c
1775734045.903,0,39.39,19,3,2318,42
1775734046.143,0,39.48,20,3,2318,42
1775734046.377,0,39.48,20,3,2317,42
1775734046.610,0,39.53,20,4,2326,42
1775734046.851,0,40.45,48,16,5083,42
1775734047.097,0,82.75,91,49,5085,42
1775734047.360,0,131.94,100,70,5085,59
1775734047.627,0,164.92,100,57,5086,59
1775734047.871,0,198.33,100,69,5085,67
1775734048.107,0,219.39,100,65,5084,67
1775734048.339,0,218.83,100,50,5080,70
1775734048.578,0,218.15,100,69,5081,70
1775734048.828,0,218.49,100,56,5082,72
1775734049.068,0,217.51,100,65,5082,72
1775734049.308,0,218.35,100,68,5082,73
1775734049.542,0,218.68,100,58,5117,73
1775734049.784,0,219.46,100,66,5116,75
1775734050.016,0,218.30,100,59,5116,75
1775734050.247,0,219.40,100,69,5116,75
1775734050.481,0,218.99,100,66,5116,75
1775734050.715,0,219.96,100,68,5116,76
1775734050.947,0,218.35,100,72,5116,76
1775734051.176,0,218.59,100,62,5116,76
1775734051.407,0,218.54,100,74,5113,76
1775734051.641,0,219.04,100,62,5113,77
1775734051.879,0,217.67,100,70,5108,77
1775734052.115,0,218.89,100,74,5108,77
1775734052.348,0,218.51,100,62,5108,77
1775734052.579,0,218.89,100,72,5106,77
1775734052.818,0,218.80,100,64,5106,77
1775734053.050,0,217.73,100,69,5103,77
1775734053.286,0,217.00,100,62,5103,77
1775734053.516,0,214.81,100,68,5101,77
1775734053.747,0,213.58,100,71,5101,77
1775734053.980,0,211.78,100,59,5101,77
1775734054.214,0,211.50,100,75,5101,77
1775734054.448,0,211.24,100,59,5101,77
1775734054.686,0,210.98,100,69,5099,77
1775734054.924,0,211.07,100,64,5099,77
1775734055.167,0,212.07,100,65,5099,77
1775734055.397,0,210.18,100,60,5099,78
1775734055.630,0,206.40,100,63,5095,78
1775734055.869,0,204.59,100,69,5095,76
1775734056.106,0,200.91,100,59,5126,76
1775734056.341,0,200.03,100,61,5124,76
1775734056.579,0,204.74,100,72,5124,76
1775734056.821,0,206.38,100,70,5124,78
1775734057.062,0,207.24,100,72,5124,78
1775734057.294,0,207.78,100,58,5123,77
1775734057.528,0,205.97,100,69,5123,77
1775734057.766,0,205.23,100,70,5123,77
1775734057.997,0,205.17,100,68,5123,77
1775734058.234,0,204.79,100,72,5120,77
1775734058.469,0,204.90,100,59,5120,77
1775734058.699,0,204.43,100,69,5120,77
1775734058.941,0,204.83,100,67,5107,77
1775734059.180,0,205.16,100,60,5107,78
1775734059.414,0,205.88,100,64,5107,78
1775734059.644,0,206.66,100,62,5107,78
1775734059.879,0,205.06,100,68,5102,78
1775734060.112,0,203.28,100,64,5102,77
1775734060.347,0,203.05,100,65,5101,77
1775734060.580,0,202.06,100,69,5101,77
1775734060.815,0,201.27,100,66,5101,77
1775734061.049,0,201.70,100,70,5101,77
1775734061.283,0,202.59,100,59,5101,77
1775734061.517,0,202.62,100,66,5101,77
1775734061.750,0,202.16,100,70,5101,77
1775734061.982,0,202.70,100,69,5101,77
1775734062.230,0,203.17,100,71,5101,77
1775734062.468,0,202.78,100,59,5097,78
1775734062.702,0,202.86,100,69,5097,78
1775734062.939,0,202.33,100,70,5097,78
1775734063.179,0,202.59,100,57,5096,78
